scenario_idx,desc,seed,d_ab,fail_id,tick,connected,solver_status,min_slack,min_slack_u,min_slack_v,max_speed,chain_order,max_chain_dist,max_chain_link,chain_dists_str
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,39,False,DISCONNECTED_BYPASS,-157.0,0,1,2.1249251822232242,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",36.59128637112868,"(np.int64(4), np.int64(6))",0-2:24.51;2-3:24.51;3-4:24.67;4-6:36.59;6-7:25.07;7-8:24.86;8-1:24.79
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,40,False,DISCONNECTED_BYPASS,-157.0,0,1,2.1072137117500214,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",36.19968409076452,"(np.int64(4), np.int64(6))",0-2:24.54;2-3:24.59;3-4:24.74;4-6:36.20;6-7:25.15;7-8:24.96;8-1:24.82
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,41,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0817541818198024,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",35.810997813545924,"(np.int64(4), np.int64(6))",0-2:24.61;2-3:24.64;3-4:24.81;4-6:35.81;6-7:25.22;7-8:25.06;8-1:24.86
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,42,False,DISCONNECTED_BYPASS,-157.0,0,1,2.044204781050217,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",35.426642053061535,"(np.int64(4), np.int64(6))",0-2:24.68;2-3:24.69;3-4:24.86;4-6:35.43;6-7:25.29;7-8:25.15;8-1:24.90
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,43,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0303828922298752,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",35.0441956439861,"(np.int64(4), np.int64(6))",0-2:24.75;2-3:24.75;3-4:24.91;4-6:35.04;6-7:25.38;7-8:25.22;8-1:24.94
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,44,False,DISCONNECTED_BYPASS,-157.0,0,1,2.03634845692223,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",34.661560829158695,"(np.int64(4), np.int64(6))",0-2:24.83;2-3:24.81;3-4:24.95;4-6:34.66;6-7:25.48;7-8:25.29;8-1:24.98
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,45,False,DISCONNECTED_BYPASS,-157.0,0,1,2.040378500149528,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",34.27892704423813,"(np.int64(4), np.int64(6))",0-2:24.91;2-3:24.88;3-4:24.99;4-6:34.28;6-7:25.56;7-8:25.35;8-1:25.04
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,46,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0444085507399703,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",33.89629432410231,"(np.int64(4), np.int64(6))",0-2:24.98;2-3:24.96;3-4:25.02;4-6:33.90;6-7:25.63;7-8:25.39;8-1:25.14
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,47,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0439522946086788,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",33.51414834991752,"(np.int64(4), np.int64(6))",0-2:25.03;2-3:25.05;3-4:25.05;4-6:33.51;6-7:25.69;7-8:25.43;8-1:25.25
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,48,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0479827133697346,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",33.13200374868286,"(np.int64(4), np.int64(6))",0-2:25.10;2-3:25.10;3-4:25.10;4-6:33.13;6-7:25.74;7-8:25.46;8-1:25.36
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,49,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0520131379915223,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",32.74986056845948,"(np.int64(4), np.int64(6))",0-2:25.17;2-3:25.13;3-4:25.18;4-6:32.75;6-7:25.80;7-8:25.51;8-1:25.46
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,50,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0560435684395766,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",32.367718859578055,"(np.int64(4), np.int64(6))",0-2:25.23;2-3:25.18;3-4:25.25;4-6:32.37;6-7:25.87;7-8:25.57;8-1:25.54
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,51,False,DISCONNECTED_BYPASS,-157.0,0,1,2.060374754601093,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",31.98500378987759,"(np.int64(4), np.int64(6))",0-2:25.28;2-3:25.25;3-4:25.31;4-6:31.99;6-7:25.93;7-8:25.64;8-1:25.61
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,52,False,DISCONNECTED_BYPASS,-157.0,0,1,2.064405201967176,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",31.601503641026163,"(np.int64(4), np.int64(6))",0-2:25.29;2-3:25.35;3-4:25.37;4-6:31.60;6-7:25.99;7-8:25.71;8-1:25.69
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,53,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0684356550359837,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",31.217268753881616,"(np.int64(4), np.int64(6))",0-2:25.34;2-3:25.41;3-4:25.44;4-6:31.22;6-7:26.05;7-8:25.79;8-1:25.76
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,54,False,DISCONNECTED_BYPASS,-157.0,0,1,2.072466113774244,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",30.832715408733602,"(np.int64(4), np.int64(6))",0-2:25.41;2-3:25.44;3-4:25.53;4-6:30.83;6-7:26.11;7-8:25.88;8-1:25.81
